full_name,nickname,gender,type,state,senate_class,party,,,,,,,,,,,,,,,,,,,,,,,,,
Elise M. Stefanik,,F,rep,NY,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
John Katko,,M,rep,NY,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan F. Boyle,,M,rep,PA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
John Ratcliffe,,M,rep,TX,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Will Hurd,,M,rep,TX,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Babin,,M,rep,TX,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
"Donald S. Beyer, Jr.",,M,rep,VA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Stacey E. Plaskett,,F,rep,VI,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Newhouse,,M,rep,WA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn Grothman,,M,rep,WI,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander X. Mooney,,M,rep,WV,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Aumua Amata Coleman Radewagen,,F,rep,AS,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Sullivan,,M,sen,AK,2,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
David Perdue,,M,sen,GA,2,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Joni Ernst,,F,sen,IA,2,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Thom Tillis,,M,sen,NC,2,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Rounds,,M,sen,SD,2,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Walker,,M,rep,NC,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Sasse,,M,sen,NE,2,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Kelly,,M,rep,MS,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Darin LaHood,,M,rep,IL,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Warren Davidson,,M,rep,OH,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
James Comer,,M,rep,KY,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Dwight Evans,,M,rep,PA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Kamala D. Harris,,F,sen,CA,3,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
John Kennedy,,M,sen,LA,3,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Margaret Wood Hassan,Maggie,F,sen,NH,3,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine Cortez Masto,,F,sen,NV,3,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Bradley Scott Schneider,,M,rep,IL,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Tom O’Halleran,,M,rep,AZ,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Biggs,,M,rep,AZ,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Ro Khanna,,M,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Panetta,,M,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Salud O. Carbajal,,M,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Nanette Diaz Barragán,,F,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
J. Luis Correa,,M,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Lisa Blunt Rochester,,F,rep,DE,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Matt Gaetz,,M,rep,FL,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Neal P. Dunn,,M,rep,FL,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
John H. Rutherford,,M,rep,FL,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
"Al Lawson, Jr.",,M,rep,FL,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Stephanie N. Murphy,,F,rep,FL,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Darren Soto,,M,rep,FL,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Val Butler Demings,,F,rep,FL,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Crist,,M,rep,FL,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Brian J. Mast,,M,rep,FL,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Francis Rooney,,M,rep,FL,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
A. Drew Ferguson IV,,M,rep,GA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Raja Krishnamoorthi,,M,rep,IL,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Banks,,M,rep,IN,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Hollingsworth,,M,rep,IN,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Roger W. Marshall,,M,rep,KS,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Clay Higgins,,M,rep,LA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Johnson,,M,rep,LA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony G. Brown,,M,rep,MD,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie Raskin,,M,rep,MD,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Bergman,,M,rep,MI,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Mitchell,,M,rep,MI,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Budd,,M,rep,NC,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Don Bacon,,M,rep,NE,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Gottheimer,,M,rep,NJ,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Jacky Rosen,,F,sen,NV,1,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas R. Suozzi,,M,rep,NY,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Adriano Espaillat,,M,rep,NY,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Brian K. Fitzpatrick,,M,rep,PA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Lloyd Smucker,,M,rep,PA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Jenniffer González-Colón,,F,rep,PR,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
David Kustoff,,M,rep,TN,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Vicente Gonzalez,,M,rep,TX,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Jodey C. Arrington,,M,rep,TX,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
A. Donald McEachin,,M,rep,VA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Pramila Jayapal,,F,rep,WA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Gallagher,,M,rep,WI,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Liz Cheney,,F,rep,WY,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Ron Estes,,M,rep,KS,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Gianforte,,M,rep,MT,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Ralph Norman,,M,rep,SC,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Gomez,,M,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
John R. Curtis,,M,rep,UT,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Doug Jones,,M,sen,AL,2,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Tina Smith,,F,sen,MN,2,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Cindy Hyde-Smith,,F,sen,MS,2,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Conor Lamb,,M,rep,PA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Debbie Lesko,,F,rep,AZ,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Cloud,,M,rep,TX,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Troy Balderson,,M,rep,OH,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Hern,,M,rep,OK,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph D. Morelle,,M,rep,NY,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Gay Scanlon,,F,rep,PA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Susan Wild,,F,rep,PA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Ed Case,,M,rep,HI,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Steven Horsford,,M,rep,NV,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Ann Kirkpatrick,,F,rep,AZ,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Stanton,,M,rep,AZ,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Harder,,M,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
TJ Cox,,M,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Katie Hill,,F,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
"Gilbert Ray Cisneros, Jr.",,M,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Katie Porter,,F,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Harley Rouda,,M,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Levin,,M,rep,CA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Neguse,,M,rep,CO,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Crow,,M,rep,CO,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Jahana Hayes,,F,rep,CT,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Waltz,,M,rep,FL,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Ross Spano,,M,rep,FL,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
W. Gregory Steube,,M,rep,FL,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Debbie Mucarsel-Powell,,F,rep,FL,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Donna E. Shalala,,F,rep,FL,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Lucy McBath,,F,rep,GA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Michael F. Q. San Nicolas,,M,rep,GU,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Abby Finkenauer,,F,rep,IA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Cynthia Axne,,F,rep,IA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Russ Fulcher,,M,rep,ID,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
"Jesús G. ""Chuy"" García",,M,rep,IL,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Sean Casten,,M,rep,IL,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Lauren Underwood,,F,rep,IL,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
James R. Baird,,M,rep,IN,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Pence,,M,rep,IN,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Watkins,,M,rep,KS,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Sharice Davids,,F,rep,KS,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Lori Trahan,,F,rep,MA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Ayanna Pressley,,F,rep,MA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
David J. Trone,,M,rep,MD,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Elissa Slotkin,,F,rep,MI,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Levin,,M,rep,MI,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Haley M. Stevens,,F,rep,MI,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Rashida Tlaib,,F,rep,MI,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Hagedorn,,M,rep,MN,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Angie Craig,,F,rep,MN,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Dean Phillips,,M,rep,MN,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Ilhan Omar,,F,rep,MN,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Pete Stauber,,M,rep,MN,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Guest,,M,rep,MS,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Kelly Armstrong,,M,rep,ND,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Pappas,,M,rep,NH,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Jefferson Van Drew,,M,rep,NJ,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Kim,,M,rep,NJ,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Malinowski,,M,rep,NJ,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Mikie Sherrill,,F,rep,NJ,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Debra A. Haaland,,F,rep,NM,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Xochitl Torres Small,,F,rep,NM,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Susie Lee,,F,rep,NV,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Max Rose,,M,rep,NY,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandria Ocasio-Cortez,,F,rep,NY,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Delgado,,M,rep,NY,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Brindisi,,M,rep,NY,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Gonzalez,,M,rep,OH,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Kendra S. Horn,,F,rep,OK,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Madeleine Dean,,F,rep,PA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Chrissy Houlahan,,F,rep,PA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Meuser,,M,rep,PA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
John Joyce,,M,rep,PA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Guy Reschenthaler,,M,rep,PA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Cunningham,,M,rep,SC,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
William R. Timmons IV,,M,rep,SC,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Dusty Johnson,,M,rep,SD,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Burchett,,M,rep,TN,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
John W. Rose,,M,rep,TN,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Mark E. Green,,M,rep,TN,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Crenshaw,,M,rep,TX,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Van Taylor,,M,rep,TX,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Lance Gooden,,M,rep,TX,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Ron Wright,,M,rep,TX,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Lizzie Fletcher,,F,rep,TX,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Veronica Escobar,,F,rep,TX,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Chip Roy,,M,rep,TX,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Sylvia R. Garcia,,F,rep,TX,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Colin Z. Allred,,M,rep,TX,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Ben McAdams,,M,rep,UT,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Elaine G. Luria,,F,rep,VA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Denver Riggleman,,M,rep,VA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Cline,,M,rep,VA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail Davis Spanberger,,F,rep,VA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Jennifer Wexton,,F,rep,VA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Kim Schrier,,F,rep,WA,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan Steil,,M,rep,WI,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Carol D. Miller,,F,rep,WV,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Rick Scott,,M,sen,FL,1,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Braun,,M,sen,IN,1,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Hawley,,M,sen,MO,1,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Mitt Romney,,M,sen,UT,1,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Martha McSally,,F,sen,AZ,3,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
Jared F. Golden,,M,rep,ME,,Democrat,,,,,,,,,,,,,,,,,,,,,,,,,
Fred Keller,,M,rep,PA,,Republican,,,,,,,,,,,,,,,,,,,,,,,,,
