Name,Sport,Country,Gender ,Salary/Winnings,Endorsements
Floyd Mayweather,Boxing, U.S.,M,$275 M,$10 M
Lionel Messi,Soccer, Argentina,M,$84 M,$27 M
Cristiano Ronaldo,Soccer, Portugal,M,$61 M,$47 M
Conor McGregor,Mixed Martial Arts, Ireland,M,$85 M,$14 M
Neymar,Soccer, Brazil,M,$73 M,$17 M
LeBron James,Basketball, U.S.,M,$33.5 M,$52 M
Roger Federer,Tennis, Switzerland,M,$12.2 M,$65 M
Stephen Curry,Basketball, U.S.,M,$34.9 M,$42 M
Matt Ryan,Football, U.S.,M,$62.3 M,$5 M
Matthew Stafford,Football, U.S.,M,$57.5 M,$2 M
Kevin Durant,Basketball, U.S.,M,$25.3 M,$32 M
Lewis Hamilton,Auto Racing, U.K.,M,$42 M,$9 M
Russell Westbrook,Basketball, U.S.,M,$28.6 M,$19 M
James Harden,Basketball, U.S.,M,$28.4 M,$18 M
Canelo Alvarez,Boxing, Mexico,M,$42 M,$2.5 M
Tiger Woods,Golf, U.S.,M,$1.3 M,$42 M
Drew Brees,Football, U.S.,M,$29.9 M,$13 M
Sebastian Vettel,Auto Racing, Germany,M,$42 M,$300 K
Derek Carr,Football, U.S.,M,$40.1 M,$2 M
Rafael Nadal,Tennis, Spain,M,$14.4 M,$27 M
Alex Smith,Football, U.S.,M,$40.4 M,$1 M
Phil Mickelson,Golf, U.S.,M,$4.3 M,$37 M
Jordan Spieth,Golf, U.S.,M,$11.2 M,$30 M
Damian Lillard,Basketball, U.S.,M,$26.2 M,$13 M
Anthony Joshua,Boxing, U.K.,M,$32 M,$7 M
Rory McIlroy,Golf, U.K.,M,$3.7 M,$34 M
Trumaine Johnson,Football, U.S.,M,$36.8 M,$250 K
Jimmy Garoppolo,Football, U.S.,M,$36 M,$200 K
Kyrie Irving,Basketball, U.S.,M,$19.1 M,$17 M
Giannis Antetokounmpo,Basketball, U.S.,M,$22.5 M,$13 M
Blake Griffin,Basketball, Greece,M,$29.5 M,$6 M
Ryan Tannehill,Football, U.S.,M,$34.7 M,$500 K
Von Miller,Football, U.S.,M,$33.1 M,$2 M
Anthony Davis,Basketball, U.S.,M,$23.9 M,$11 M
Gareth Bale,Soccer, Japan,M,$28.6 M,$6 M
Kei Nishikori,Tennis, U.K.,M,$1.6 M,$33 M
Clayton Kershaw,Baseball, U.S.,M,$33.8 M,$750 K
Carmelo Anthony,Basketball, U.S.,M,$26.2 M,$7 M
Fernando Alonso,Auto Racing, Spain,M,$32 M,$1 M
Demar DeRozan,Basketball, U.S.,M,$27.5 M,$5.5 M
Chris Paul,Basketball, U.S.,M,$24.9 M,$7 M
Paul Millsap,Basketball, U.S.,M,$31.3 M,$500 K
Dwyane Wade,Basketball, U.S.,M,$17.8 M,$14 M
Klay Thompson,Basketball, U.S.,M,$18.1 M,$13 M
Usain Bolt,Track, Jamaica,M,$1 M,$30 M
Gordon Hayward,Basketbal, U.S.,M,$29.8 M,$1 M
David Price,Baseball, U.S.,M,$30 M,$650 K
Kyle Lowry,Basketball, U.S.,M,$29 M,$1.5 M
Albert Pujols,Baseball, Dominican Republic,M,$29.3 M,$1 M
Mike Conley,Basketball, U.S.,M,$28.5 M,$1.5 M
Al Horford,Basketball, Dominican Republic,M,$27.8 M,$2 M
Paul Pogba,Soccer, France,M,$25 M,$4.5 M
Justin Verlander,Baseball, U.S.,M,$28.4 M,$1 M
Miguel Cabrera,Baseball, Venezuela,M,$28.7 M,$500 K
Kirk Cousins,Football, U.S.,M,$26.9 M,$1.5 M
Oscar,Soccer, Brazil,M,$25.9 M,$1.5 M
Paul George,Basketball, U.S.,M,$19.6 M,$7.5 M
Dwight Howard,Basketball, U.S.,M,$23.5 M,$3.5 M
Wayne Rooney,Soccer, U.K.,M,$22 M,$5 M
Jrue Holiday,Basketball, U.S.,M,$26.7 M,$250 K
Kevin Love,Basketball, Uruguay,M,$22.9 M,$4 M
Luis Suarez,Soccer, U.S.,M,$19.9 M,$7 M
Felix Hernandez,Baseball, Venezuela,M,$26.3 M,$400 K
Mike Trout,Baseball, U.S.,M,$23.9 M,$2.5 M
Chris Bosh,Basketball, U.S.,M,$25.3 M,$1 M
Justin Thomas,Golf, U.S.,M,$21 M,$5 M
C.J. McCollum,Basketball, U.S.,M,$23.8 M,$2 M
Eli Manning,Football, U.S.,M,$18.5 M,$7 M
DeAndre Hopkins,Football, U.S.,M,$24.1 M,$1.2 M
"Otto Porter, Jr.",Basketball, U.S.,M,$24.8 M,$500 K
Yoenis Cespedes,Baseball, Cuba,M,$24.7 M,$500 K
Gennady Golovkin,Boxing, U.S.,M,$23 M,$2 M
Buster Posey,Baseball, Kazakhstan,M,$21.5 M,$3.5 M
Bradley Beal,Basketball, U.S.,M,$23.9 M,$1 M
Andre Drummond,Basketball, U.S.,M,$23.9 M,$1 M
Harrison Barnes,Basketball, U.S.,M,$23.1 M,$1.5 M
Davante Adams,Football, U.S.,M,$24 M,$500 K
Hassan Whiteside,Basketball, U.S.,M,$23.8 M,$750 K
Stephon Tuitt,Football, U.S.,M,$24.2 M,$200 K
Sam Bradford,Football, U.S.,M,$24.1 M,$250 K
Zack Greinke,Baseball, U.S.,M,$24.1 M,$50 K
Chandler Parsons,Basketball, U.S.,M,$23.1 M,$1 M
Virat Kohli,Cricket, India,M,$4 M,$20 M
Marc Gasol,Basketball, U.S.,M,$22.7 M,$1 M
DeAndre Jordan,Basketball, Spain,M,$22.7 M,$1 M
Steven Adams,Basketball, Serbia,M,$22.5 M,$1 M
Sergio Aguero,Soccer, U.S.,M,$17 M,$6 M
Novak Djokovic,Tennis, U.S.,M,$1.5 M,$22 M
Joe Mauer,Baseball, Argentina,M,$23 M,$500 K
J.J. Redick,Basketball, New Zealand,M,$23 M,$500 K
Joey Votto,Baseball, Canada,M,$23.1 M,$300 K
Jarvis Landry,Football, U.S.,M,$22.5 M,$750 K
Nate Solder,Football, U.S.,M,$23.1 M,$100 K
John Wall,Basketball, U.S.,M,$18.2 M,$5 M
LaMarcus Aldridge,Basketball, U.S.,M,$21.6 M,$1.5 M
Robinson Cano,Baseball, Japan,M,$22.1 M,$1 M
Brook Lopez,Basketball, U.S.,M,$22.6 M,$500 K
Masahiro Tanaka,Baseball, Dominican Republic,M,$22.1 M,$1 M
Melvin Ingram,Football, U.S.,M,$22.8 M,$150 K
Nicolas Batum,Basketball, France,M,$22.4 M,$500 K
